symbol	Name	Title	id	type	char_flags_txt	char_flags_txt_value	flags_txt	flags_txt_value	x	y	direction	shield	portrait	movetype	movemode	speed	int_speed	energy	energy_max	energy_med	rest	rest_count	timeout	combat_opponent	combat_str	combat_power	combat_limit	quest	quest_stage	quest1	quest2	quest3	quest4	shelter_State	shelter_X	shelter_Y	shelter_Dir	shelter_Num	shelter_Type	lstblk_x	lstblk_y	rank	army_race	army_size	army_lost	army_kill	army_flags	start_realm	start_land	sleep_time	wake_time	weapons	weapon_details	weapons_link	find_status	quest_type1	quest_type2	time	wait	flags_2_txt	flags_2_txt_value	purpose	reaction	allegiance	land	realm	qualities1_txt	qualities1_txt_value	qualities2_txt	qualities2_txt_value	xi	yi	lives	strength	armies
CH_MORKIN	Morkin	Prince	0	character	+recruit+knowledge+friendly+interest+major+control+location+watch	58443	+height+obstacle	5	8	12	NORTH	shield_32	head_58	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Free	195	0	0	43690	Midnight	Corelay	660	1140	1	0	-1	0	-1	-1	0	0		0	BE_A_HOSTAGE	RETURN_HOME	Free	0	0	+bold+tireless+reliable+gallant	204808		0	0	0	0	0	0
CH_CORLETH	Corleth	of Corelay	1	character	+recruit+knowledge+friendly+interest+control+location+watch	57419	+height+obstacle	5	145	220	NORTH	shield_32	head_79	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	RESCUE	0	0	7	0	0	-1	0	0	0	-1	0	0	0	0	Free	0	0	0	43690	Midnight	Corelay	360	840	1	0	-1	0	2	-1	0	0		0	RANDOMLY_WANDER	RETURN_HOME	Free	0	0	+selfless+talkative+reliable	66052		0	0	0	0	0	0
CH_ANDERLANE	Anderlane	of the Arakai	2	character		0	+height+obstacle	5	149	97	NORTH	shield_48	head_88	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Arakai	80	0	0	43690	The Last Northing	Crimson	1380	420	1	0	-1	0	-1	-1	0	0		0	DEFEND_HOMELAND	RETURN_HOME	Arakai	0	0	+brave+bold+eager+passionate+loyal+hot-tempered+a mighty warrior	1611171849	+headstrong	65536	0	0	0	0	0
CH_RORTHRON	Rorthron	the Wise	3	character	+recruit+knowledge+friendly+interest+control+location+watch	57419	+height+obstacle	5	71	57	NORTH	shield_29	head_37	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Free	0	0	0	43690	Midnight	Corelay	1380	420	1	0	-1	0	-1	-1	0	0		0	DEFEND_HOMELAND	RETURN_HOME	Free	0	0	+brave+far-sighted+quick-witted+loyal+peaceable+patient+persuasive+knowledgeable	220725507		0	0	0	0	0	0
CH_ITAR	Itar	the Green	4	character		0	+height+obstacle	5	93	137	NORTH	shield_5	head_5	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Dawn Fey	65	0	0	43690	Dawnwood	Emerthen	1380	420	1	0	-1	0	-1	-1	0	0		0	DEFEND_HOMELAND	RETURN_HOME	Dawn Fey	0	0	+far-sighted+selfless+gentle	70		0	0	0	0	0	0
CH_ARIN	Arin	Lord Blood	5	character	+recruit+knowledge+friendly+interest+control+location+watch	57419	+height+obstacle	5	145	220	NORTH	shield_56	head_67	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	RESCUE	0	0	7	0	0	-1	0	0	0	-1	0	0	0	0	Free	0	0	0	43690	Midnight	Corelay	360	840	1	0	-1	0	2	-1	0	0		0	RANDOMLY_WANDER	RETURN_HOME	Free	0	0	+eager+energetic+charming+hot-tempered	537139200		0	0	0	0	0	0
CH_GALAGRIM	Galagrim	of the Flame	6	character	+knowledge	2	+height+obstacle	5	236	107	NORTH	shield_36	head_86	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Dragonlord	185	0	0	43690	Arungor	Ashnar	660	1140	1	0	-1	0	-1	-1	0	0		0	DEFEND_HOMELAND	RETURN_HOME	Dragonlord	0	0	+persuasive+a superb leader	-2080374784	+headstrong+thick-skinned	536936448	0	0	0	0	0
CH_LUXOR	Luxor	the Moonprince	7	character	+recruit+knowledge+friendly+rescue+interest+control+location+watch	57435	+height+obstacle	5	145	220	NORTH	shield_32	head_49	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Free	0	0	0	43690	Midnight	Corelay	1380	420	1	0	-1	0	-1	-1	0	0		0	DEFEND_HOMELAND	RETURN_HOME	Free	0	0	+brave+bold+kind+a superb leader	-2147483623		0	0	0	0	0	0
CH_KARGRIM	Kargrim	the Cautious	8	character		0	+height+obstacle	5	239	41	NORTH	shield_28	head_9	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Dragonlord	85	0	0	43690	Arungor	Erivik	1380	420	1	0	-1	0	-1	-1	0	0		0	DEFEND_HOMELAND	RETURN_HOME	Dragonlord	0	0	+quick-witted+modest	16640	+cautious	8	0	0	0	0	0
CH_MORATHRON	Morathron	the Sorceror	9	character		0	+height+obstacle	5	191	61	NORTH	shield_58	head_10	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Arakai	75	0	0	43690	The Last Northing	Ravenfrey	660	1140	1	0	-1	0	-1	-1	0	0		0	DEFEND_HOMELAND	RETURN_HOME	Arakai	0	0	+far-sighted	2	+cold_hearted+treacherous+impatient	17301536	0	0	0	0	0
CH_GUTHRANE	Guthrane	Oakfist	10	character		0	+height+obstacle	5	157	20	NORTH	shield_12	head_11	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Arakai	65	0	0	43690	The Last Northing	Sapphire	360	840	1	0	-1	0	-1	-1	0	0		0	DEFEND_HOMELAND	RETURN_HOME	Arakai	0	0	+hot-tempered	536870912	+headstrong+impatient	16842752	0	0	0	0	0
