Version	Id	Symbol	Flags	Location	Looking	Time	Race	Gender	LongName	ShortName	Loyalty	Energy	Reckless	Strength	Cowardly	Courage	Despondency	Fear	Orders	Carrying	WaitStatus	Warriors	Riders	Following	Foe	Liege	Traits	Home	DesiredObject
1	1	CH_LUXOR	RIDING+ALIVE+RECRUITED+ARMY+HIDE+HORSE+MOONRING	[13,41]	SouthEast	16	Free	Male	Luxor the Moonprince	Luxor	Free	127	180	25	80	0	0	0	None	OB_MOONRING	None	0	0		CH_DOOMDARK		NONE		
1	2	CH_MORKIN	RIDING+ALIVE+RECRUITED+HORSE+MOONRING+ICECROWN	[13,41]	North	16	Morkin	Male	Morkin	Morkin	Free	127	200	5	127	0	0	0	None	None	None	0	0		CH_DOOMDARK		NONE		
1	3	CH_CORLETH	RIDING+ALIVE+RECRUITED+ARMY+HIDE+HORSE	[13,41]	East	16	Fey	Male	Corleth the Fey	Corleth	Free	127	180	20	96	0	0	0	None	None	None	0	0		CH_DOOMDARK		NONE		
1	4	CH_RORTHRON	RIDING+ALIVE+RECRUITED+HIDE+HORSE	[13,41]	NorthEast	16	Wise	Male	Rorthron the Wise	Rorthron	Free	127	220	40	80	0	0	0	None	None	None	0	0		CH_DOOMDARK		NONE		
1	5	CH_GARD	RIDING+ALIVE+ARMY+HIDE+HORSE	[11,56]	East	16	Free	Male	The Lord of Gard	Gard	Free	64	150	10	64	0	0	0	None	None	None	500	1000		CH_DOOMDARK		NONE		
1	6	CH_MARAKITH	RIDING+ALIVE+ARMY+HIDE+HORSE	[44,33]	West	16	Free	Male	The Lord of Marakith	Marakith	Free	64	150	10	64	0	0	0	None	None	None	500	1000		CH_DOOMDARK		NONE		
1	7	CH_XAJORKITH	RIDING+ALIVE+ARMY+HIDE+HORSE	[46,60]	North	16	Free	Male	The Lord of Xajorkith	Xajorkith	Free	64	150	15	64	0	0	0	None	None	None	800	1200		CH_DOOMDARK		NONE		
1	8	CH_GLOOM	RIDING+ALIVE+ARMY+HIDE+HORSE	[9,1]	East	16	Free	Male	The Lord of Gloom	Gloom	Free	64	150	15	56	0	0	0	None	None	None	500	1000		CH_DOOMDARK		NONE		
1	9	CH_SHIMERIL	RIDING+ALIVE+ARMY+HIDE+HORSE	[29,43]	NorthWest	16	Free	Male	The Lord of Shimeril	Shimeril	Free	64	150	15	64	0	0	0	None	None	None	800	1000		CH_DOOMDARK		NONE		
1	10	CH_KUMAR	RIDING+ALIVE+ARMY+HIDE+HORSE	[58,30]	South	16	Free	Male	The Lord of Kumar	Kumar	Free	64	150	10	64	0	0	0	None	None	None	700	1000		CH_DOOMDARK		NONE		
1	11	CH_ITHRORN	RIDING+ALIVE+ARMY+HIDE+HORSE	[58,16]	NorthWest	16	Free	Male	The Lord of Ithrorn	Ithrorn	Free	64	150	15	64	0	0	0	None	None	None	1000	1200		CH_DOOMDARK		NONE		
1	12	CH_DAWN	RIDING+ALIVE+ARMY+HIDE+HORSE	[45,46]	North	16	Free	Male	The Lord of Dawn	Dawn	Free	64	120	8	48	0	0	0	None	None	None	500	800		CH_DOOMDARK		NONE		
1	13	CH_DREAMS	RIDING+ALIVE+ARMY+HIDE+HORSE	[43,17]	North	16	Fey	Male	The Lord of Dreams	Dreams	Free	64	180	20	90	0	0	0	None	None	None	800	1200		CH_DOOMDARK		NONE		
1	14	CH_DREGRIM	RIDING+ALIVE+ARMY+HIDE+HORSE	[60,44]	North	16	Fey	Male	The Lord of Dregrim	Dregrim	Free	64	150	15	80	0	0	0	None	None	None	400	1000		CH_DOOMDARK		NONE		
1	15	CH_THIMRATH	RIDING+ALIVE+ARMY+HIDE+HORSE	[34,61]	West	16	Fey	Male	Thimrath the Fey	Thimrath	Free	64	130	12	90	0	0	0	None	None	None	600	400		CH_DOOMDARK		NONE		
1	16	CH_WHISPERS	RIDING+ALIVE+ARMY+HIDE+HORSE	[58,21]	NorthWest	16	Fey	Male	The Lord of Whispers	Whispers	Free	64	150	12	80	0	0	0	None	None	None	300	600		CH_DOOMDARK		NONE		
1	17	CH_SHADOWS	ALIVE+ARMY+HIDE+HORSE	[12,38]	North	16	Fey	Male	The Lord of Shadows	Shadows	Free	64	130	12	70	0	0	0	None	None	None	0	1000		CH_DOOMDARK		NONE		
